Site Name,Site Code,Ref Station,Site Server Name,Sat. Sys.,Latitude,Longitude,Height,Use Physical Coordinates,Physical Latitude,Physical Longitude,Physical Height,Reciever Type,Antenna Type,Total Vertical Height,Cluster Name,Master in Cell,Aux in Cell
GSPE,GSPE,121,Global Sites,G/R/E/C/J,"37° 11' 57.21189"" S","174° 54' 20.61781"" E",109.5127,Yes,"37° 11' 57.17987"" S","174° 54' 20.62172"" E",109.5174,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,,GSTKfixed; GSPO-0129
GSPO,GSPO,129,Global Sites,G/R/E/C/J,"37° 14' 35.28744"" S","175° 01' 01.30105"" E",66.9098,Yes,"37° 14' 35.25561"" S","175° 01' 01.30528"" E",66.9076,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSPO-0129,
GSWI,GSWI,57,Global Sites,G/R/E/C/-,"37° 15' 04.53171"" S","174° 43' 45.17006"" E",50.126,Yes,"37° 15' 04.49919"" S","174° 43' 45.17345"" E",50.0979,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSWIfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSWH,GSWH,64,Global Sites,G/R/E/C/-,"37° 23' 22.35889"" S","175° 50' 23.96730"" E",156.869,Yes,"37° 23' 22.32715"" S","175° 50' 23.97123"" E",156.7999,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSWHfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSTK,GSTK,63,Global Sites,G/R/E/C/J,"37° 24' 39.87878"" S","175° 08' 43.44133"" E",54.461,Yes,"37° 24' 39.84725"" S","175° 08' 43.44475"" E",54.4473,SEPT POLARX5,LEIAS10         NONE,0,Auckland/Waikato,GSTKfixed,GSPO-0129
GSOK,GSOK,90,Global Sites,G/R/E/C/J,"37° 38' 34.21330"" S","176° 01' 57.62554"" E",38.755,Yes,"37° 38' 34.18278"" S","176° 01' 57.62869"" E",38.7499,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSOK-fixed,GSPP-fixed; GSPO-0129
GSMO,GSMO,100,Global Sites,G/R/E/C/J,"37° 39' 28.33094"" S","175° 31' 00.94451"" E",68.4749,Yes,"37° 39' 28.29932"" S","175° 31' 00.94785"" E",68.4572,LEICA GR30,AR10,0,Auckland/Waikato,GSMOfixed,GSGLfixed; GSHUfixed; GSMDfixed; GSOHfixed; GSMA
GSHO,GSHO,88,Global Sites,G/R/-/-/-,"37° 44' 20.07896"" S","175° 13' 07.48399"" E",69.953,Yes,"37° 44' 20.04756"" S","175° 13' 07.48687"" E",69.9553,LEICA GMX902GG,LEIAR10         NONE,0,,,
GSPP,GSPP,39,Global Sites,G/R/E/C/J,"37° 45' 11.25682"" S","176° 06' 13.27145"" E",49.9521,Yes,"37° 45' 11.22626"" S","176° 06' 13.27505"" E",49.943,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSPP-fixed,GSOK-fixed
GSHT,GSHT,71,Global Sites,G/R/E/C/J,"37° 47' 16.40377"" S","175° 16' 50.39640"" E",118.46,Yes,"37° 47' 16.37231"" S","175° 16' 50.39898"" E",118.4465,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSHTfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
