Site Name,Site Code,Ref Station,Site Server Name,Sat. Sys.,Latitude,Longitude,Height,Use Physical Coordinates,Physical Latitude,Physical Longitude,Physical Height,Reciever Type,Antenna Type,Total Vertical Height,Cluster Name,Master in Cell,Aux in Cell
VGMT,VGMT,27,LINZ Sites,G/R/E/C/J,"39° 23' 04.49938"" S","175° 28' 13.65950"" E",836.525,Yes,"39° 23' 04.46767"" S","175° 28' 13.65799"" E",836.5123,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
NTGT,NTGT,92,LINZ Sites,G/R/E/C/J,"39° 28' 32.08257"" S","176° 55' 12.30147"" E",24.9181,No,"41° 11' 00.59775"" S","173° 26' 01.42633"" E",302.103,Trimble Alloy,TRM115000.00    NONE,0.0001,,,
HAST,HAST,8,LINZ Sites,G/R/E/C/J,"39° 37' 01.31855"" S","176° 43' 35.63020"" E",152.334,Yes,"39° 37' 01.29812"" S","176° 43' 35.62358"" E",152.2864,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
WANG,WANG,33,LINZ Sites,G/R/E/C/J,"39° 47' 12.77211"" S","174° 49' 17.21024"" E",289.668,Yes,"39° 47' 12.73983"" S","174° 49' 17.20594"" E",289.6627,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
DNVK,DNVK,62,LINZ Sites,G/R/E/C/J,"40° 17' 55.88757"" S","176° 09' 59.96980"" E",457.617,Yes,"40° 17' 55.86379"" S","176° 09' 59.95230"" E",457.57,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
LEVN,LEVN,14,LINZ Sites,G/R/E/C/J,"40° 35' 19.61409"" S","175° 14' 26.29772"" E",96.131,Yes,"40° 35' 19.58339"" S","175° 14' 26.28316"" E",96.121,TRIMBLE NETR9,TRM55971.00     NONE,0.002,,,
GLDB,GLDB,6,LINZ Sites,G/R/E/C/J,"40° 49' 35.74832"" S","172° 31' 46.42597"" E",302.604,Yes,"40° 49' 35.71703"" S","172° 31' 46.42765"" E",302.5791,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
PAEK,PAEK,21,LINZ Sites,G/R/E/C/J,"41° 01' 18.35864"" S","174° 57' 07.49265"" E",443.244,Yes,"41° 01' 18.32840"" S","174° 57' 07.47503"" E",443.203,TRIMBLE NETR9,TRM57971.00     NONE,0.002,,,
TKHL,TKHL,82,LINZ Sites,G/R/E/C/J,"41° 02' 01.27721"" S","172° 57' 37.74791"" E",450.219,Yes,"41° 02' 01.24563"" S","172° 57' 37.74692"" E",450.1729,TRIMBLE NETR9,TRM57971.00     NONE,0.002,Wellington/Nelson/Marlborough,TKHLfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
WRPA,WRPA,45,LINZ Sites,G/R/E/C/J,"41° 03' 45.24741"" S","175° 34' 59.63986"" E",204.808,Yes,"41° 03' 45.22295"" S","175° 34' 59.61087"" E",204.7896,TRIMBLE ALLOY,TRM115000.00    NONE,0.002,Wellington/Nelson/Marlborough,WRPAfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
NLSN,NLSN,18,LINZ Sites,G/R/E/C/J,"41° 11' 00.63076"" S","173° 26' 01.42975"" E",302.12,Yes,"41° 11' 00.59775"" S","173° 26' 01.42633"" E",302.103,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Wellington/Nelson/Marlborough,NLSNfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
AVLN,AVLN,2,LINZ Sites,G/R/E/C/J,"41° 11' 47.18724"" S","174° 55' 58.29687"" E",39.556,Yes,"41° 11' 47.15811"" S","174° 55' 58.27410"" E",39.5196,TRIMBLE NETR9,TRM57971.00     NONE,0.055,Wellington/Nelson/Marlborough,AVLNfixed; PAEKfixed,BTHLfixed; CMBLfixed; GSBNfixed; GSCTfixed; GSNE
NSFT,NSFT,126,LINZ Sites,G/R/E/C/J,"41° 15' 41.17894"" S","173° 16' 29.08982"" E",23.1102,No,"41° 11' 00.59775"" S","173° 26' 01.42633"" E",302.103,Trimble Alloy,TRM115000.00    NONE,0.0001,,,
TRWH,TRWH,15,LINZ Sites,G/R/-/-/-,"41° 16' 40.99729"" S","174° 37' 39.52675"" E",470.319,Yes,"41° 16' 40.96230"" S","174° 37' 39.51110"" E",470.2972,TRIMBLE NETR9,TRM57971.00     NONE,0.002,Wellington/Nelson/Marlborough,TRWHfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
WGTT,WGTT,103,LINZ Sites,G/R/E/C/J,"41° 17' 25.58206"" S","174° 46' 53.74435"" E",42.973,No,"41° 19' 24.41625"" S","174° 48' 21.19464"" E",26.0148,Trimble Alloy,TRM115000.00    NONE,0.055,,,
WGTN,WGTN,35,LINZ Sites,G/R/E/C/J,"41° 19' 24.44584"" S","174° 48' 21.21867"" E",26.039,Yes,"41° 19' 24.41625"" S","174° 48' 21.19464"" E",26.0148,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Wellington/Nelson/Marlborough,WGTNfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
BTHL,BTHL,28,LINZ Sites,G/R/-/-/-,"41° 20' 25.76305"" S","175° 08' 11.54890"" E",78.843,Yes,"41° 20' 25.73809"" S","175° 08' 11.51529"" E",78.8049,TRIMBLE NETR9,TRM55971.00     NONE,0.002,Wellington/Nelson/Marlborough,BTHLfixed,AVLNfixed; CMBLfixed; GSBNfixed; GSCTfixed; GSNE
WRAU,WRAU,68,LINZ Sites,G/R/-/-/-,"41° 35' 42.04453"" S","173° 35' 10.17225"" E",536.385,Yes,"41° 35' 42.01198"" S","173° 35' 10.16842"" E",536.362,TRIMBLE NETR9,TRM57971.00     NONE,0.002,Wellington/Nelson/Marlborough,WRAUfixed,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSCT
